TF	Total genes	Activados	Reprimidos	Tipo de efecto regulatorio	Lista de genes
ATP-dependent RNA helicase DeaD	3	3	0	Activador	mntR, sdiA, uvrY
AaeR	3	3	0	Activador	aaeA, aaeB, aaeX
AccB	2	0	2	Represor	accB, accC
AcnB	1	1	0	Activador	acnB
AcrR	15	0	15	Represor	acrA, acrB, acrR, flhC, flhD, marA, marB, marR, mdtI, mdtJ, mdtU, micF, puuA, soxR, soxS
Ada	4	4	2	Dual	ada, aidB, alkA, alkB
AdiY	8	8	0	Activador	adiA, gadA, gadB, gadC, gadX, gltB, gltD, gltF
AgaR	11	0	11	Represor	agaA, agaB, agaC, agaD, agaI, agaR, agaS, agaV, agaW, kbaY, kbaZ
AgrB	1	0	1	Represor	dinQ
AidB	1	0	1	Represor	aidB
AlaS	1	0	1	Represor	alaS
AllR	9	0	9	Represor	allA, allB, allS, allW, gcl, glxK, glxR, hyi, ybbY
AllS	3	3	0	Activador	allC, allD, allE
AlpA	3	1	2	Dual	intA, phoB, phoR
AlsR	6	0	6	Represor	alsA, alsB, alsC, alsE, alsR, rpiB
AmeF	2	2	0	Activador	mazE, mazF
AppY	10	10	0	Activador	appA, appB, appC, appX, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF
AraC	19	10	13	Dual	araA, araB, araC, araD, araE, araF, araG, araH, araJ, xylA, xylB, xylZ, ydeM, ydeN, ygeA, yjfF, ytfQ, ytfR, ytfT
